Date,Time,Open,High,Low,Close,Volume
20100101,00:00:00,0.88593,0.88633,0.88577,0.88587,3906700050
20100101,01:00:00,0.88604,0.88611,0.88569,0.88587,6413200010
20100101,02:00:00,0.88577,0.88610,0.88572,0.88590,5657500000
20100101,03:00:00,0.88585,0.88608,0.88535,0.88575,3794400030
20100101,04:00:00,0.88593,0.88613,0.88577,0.88590,9180900050
20100101,05:00:00,0.88605,0.88638,0.88580,0.88590,11597700020
20100101,06:00:00,0.88601,0.88646,0.88583,0.88592,16282499990
20100101,07:00:00,0.88623,0.88639,0.88580,0.88606,19228299990
20100101,08:00:00,0.88636,0.88637,0.88610,0.88623,27832300020
20100101,09:00:00,0.88620,0.88650,0.88603,0.88617,48500799900
20100101,10:00:00,0.88620,0.88649,0.88610,0.88615,34171299990
20100101,11:00:00,0.88615,0.88650,0.88592,0.88620,35300100050
20100101,12:00:00,0.88620,0.88649,0.88611,0.88623,33139499940
20100101,13:00:00,0.88623,0.88650,0.88611,0.88622,26269499960
20100101,14:00:00,0.88620,0.88651,0.88613,0.88639,31403700030
20100101,15:00:00,0.88620,0.88633,0.88585,0.88623,34403999950
20100101,16:00:00,0.88611,0.88632,0.88610,0.88620,33251099850
20100101,17:00:00,0.88623,0.88635,0.88611,0.88615,37269699880
20100101,18:00:00,0.88617,0.88627,0.88583,0.88620,28363100150
20100101,19:00:00,0.88617,0.88702,0.88607,0.88617,15862600010
20100101,20:00:00,0.88612,0.88729,0.88607,0.88620,8533500040
20100101,21:00:00,0.88620,0.88627,0.88615,0.88617,12711600060
20100101,22:00:00,0.88617,0.88627,0.88615,0.88617,4867299990
20100101,23:00:00,0.88617,0.88632,0.88615,0.88620,7382800070
20100104,00:00:00,0.88767,0.88865,0.88709,0.88810,3573099980
20100104,01:00:00,0.88810,0.88840,0.88685,0.88685,12227599960
20100104,02:00:00,0.88685,0.88755,0.88600,0.88620,12377700000
20100104,03:00:00,0.88630,0.88680,0.88560,0.88680,12736499950
20100104,04:00:00,0.88680,0.88765,0.88635,0.88710,10442599960
20100104,05:00:00,0.88710,0.88805,0.88705,0.88785,6304500000
20100104,06:00:00,0.88775,0.88845,0.88760,0.88800,7086299970
20100104,07:00:00,0.88800,0.88865,0.88785,0.88845,6937899940
20100104,08:00:00,0.88845,0.88870,0.88780,0.88845,11349700040
20100104,09:00:00,0.88845,0.88885,0.88775,0.88845,27901400030
20100104,10:00:00,0.88845,0.88875,0.88645,0.88745,35819799950
20100104,11:00:00,0.88750,0.88835,0.88650,0.88820,40584500160
20100104,12:00:00,0.88820,0.88940,0.88635,0.88875,42485699930
20100104,13:00:00,0.88870,0.88875,0.88705,0.88710,35225799950
20100104,14:00:00,0.88705,0.89215,0.88700,0.89140,47618799850
20100104,15:00:00,0.89145,0.89240,0.89055,0.89220,38491500160
20100104,16:00:00,0.89225,0.89305,0.89160,0.89205,30160900100
20100104,17:00:00,0.89205,0.89590,0.89105,0.89565,40213399930
20100104,18:00:00,0.89560,0.89655,0.89435,0.89505,49832699910
20100104,19:00:00,0.89505,0.89510,0.89380,0.89380,31974600270
20100104,20:00:00,0.89380,0.89550,0.89360,0.89515,19223700020
20100104,21:00:00,0.89515,0.89545,0.89470,0.89540,19412900010
20100104,22:00:00,0.89540,0.89585,0.89500,0.89500,11439300010
20100104,23:00:00,0.89500,0.89595,0.89491,0.89595,7234500030
20100105,00:00:00,0.89595,0.89595,0.89530,0.89560,2549800010
20100105,01:00:00,0.89560,0.89565,0.89465,0.89510,7424700030
20100105,02:00:00,0.89505,0.89530,0.89450,0.89520,16751999910
20100105,03:00:00,0.89520,0.89755,0.89510,0.89670,15180599940
20100105,04:00:00,0.89665,0.89690,0.89545,0.89560,13737299960
20100105,05:00:00,0.89560,0.89665,0.89540,0.89640,10672499990
20100105,06:00:00,0.89645,0.89705,0.89575,0.89665,22751200070
20100105,07:00:00,0.89665,0.89710,0.89565,0.89635,29574900000
20100105,08:00:00,0.89640,0.89670,0.89505,0.89620,36546500090
20100105,09:00:00,0.89620,0.89785,0.89565,0.89755,43879800010
20100105,10:00:00,0.89755,0.89935,0.89715,0.89860,52447300190
20100105,11:00:00,0.89860,0.89955,0.89695,0.89900,37569300240
20100105,12:00:00,0.89895,0.90125,0.89875,0.90095,37394099920
20100105,13:00:00,0.90100,0.90110,0.89980,0.90030,38081799940
20100105,14:00:00,0.90030,0.90085,0.90010,0.90020,28746300050
20100105,15:00:00,0.90020,0.90150,0.89940,0.89945,35026499980
20100105,16:00:00,0.89945,0.89985,0.89750,0.89760,47928100220
20100105,17:00:00,0.89765,0.89945,0.89750,0.89915,48357000150
20100105,18:00:00,0.89915,0.90005,0.89795,0.89955,44401800050
20100105,19:00:00,0.89955,0.89995,0.89920,0.89920,16608200010
20100105,20:00:00,0.89920,0.90060,0.89840,0.89895,30890199810
20100105,21:00:00,0.89895,0.89895,0.89770,0.89800,16049500020
20100105,22:00:00,0.89795,0.89830,0.89775,0.89810,11244500080
20100105,23:00:00,0.89810,0.89835,0.89765,0.89810,5507400010
20100106,00:00:00,0.89810,0.89835,0.89757,0.89830,3650200020
20100106,01:00:00,0.89825,0.89905,0.89800,0.89820,7384799990
20100106,02:00:00,0.89820,0.89910,0.89805,0.89855,31753999980
20100106,03:00:00,0.89855,0.89880,0.89690,0.89845,34535699850
20100106,04:00:00,0.89845,0.89845,0.89730,0.89805,27410000070
20100106,05:00:00,0.89805,0.89855,0.89790,0.89825,14009800060
20100106,06:00:00,0.89825,0.89865,0.89810,0.89825,14338199980
20100106,07:00:00,0.89820,0.89940,0.89810,0.89915,24322000030
20100106,08:00:00,0.89915,0.89920,0.89510,0.89580,36210399740
20100106,09:00:00,0.89575,0.89615,0.89370,0.89450,50921400060
20100106,10:00:00,0.89450,0.89505,0.89255,0.89460,39634400230
20100106,11:00:00,0.89460,0.89795,0.89410,0.89725,40247299950
20100106,12:00:00,0.89725,0.89820,0.89645,0.89780,37679600120
20100106,13:00:00,0.89780,0.89820,0.89715,0.89770,29547699920
20100106,14:00:00,0.89770,0.89935,0.89715,0.89910,38875899910
20100106,15:00:00,0.89900,0.89985,0.89805,0.89910,29384170040
20100106,16:00:00,0.89910,0.89995,0.89810,0.89980,41588700060
20100106,17:00:00,0.89985,0.90055,0.89905,0.89915,50788599700
20100106,18:00:00,0.89915,0.90005,0.89775,0.89930,42042599840
20100106,19:00:00,0.89930,0.90065,0.89915,0.90045,23913199990
20100106,20:00:00,0.90040,0.90060,0.89990,0.90015,20774600050
20100106,21:00:00,0.90025,0.90115,0.89995,0.90055,35475800050
20100106,22:00:00,0.90060,0.90070,0.89930,0.89945,14191700080
20100106,23:00:00,0.89950,0.89990,0.89885,0.89930,5629299980
20100107,00:00:00,0.89925,0.90005,0.89890,0.89945,5563400010
20100107,01:00:00,0.89945,0.89960,0.89865,0.89885,5107100000
20100107,02:00:00,0.89885,0.90005,0.89870,0.89955,22671300060
20100107,03:00:00,0.89955,0.90020,0.89945,0.90000,16571700020
20100107,04:00:00,0.90000,0.90010,0.89940,0.90005,21280800020
20100107,05:00:00,0.90010,0.90040,0.89920,0.89950,17102599950
